time,S,E,I,R
0.00,1.00,0.00,0.00,0.00
0.10,1.00,0.00,0.00,0.00
0.20,1.00,0.00,0.00,0.00
0.30,1.00,0.00,0.00,0.00
0.40,1.00,0.00,0.00,0.00
0.50,1.00,0.00,0.00,0.00
0.60,1.00,0.00,0.00,0.00
0.70,1.00,0.00,0.00,0.00
0.80,1.00,0.00,0.00,0.00
0.90,1.00,0.00,0.00,0.00
1.00,1.00,0.00,0.00,0.00
1.10,1.00,0.00,0.00,0.00
1.20,1.00,0.00,0.00,0.00
1.30,1.00,0.00,0.00,0.00
1.40,1.00,0.00,0.00,0.00
1.50,1.00,0.00,0.00,0.00
1.60,1.00,0.00,0.00,0.00
1.70,1.00,0.00,0.00,0.00
1.80,1.00,0.00,0.00,0.00
1.90,1.00,0.00,0.00,0.00
2.00,1.00,0.00,0.00,0.00
2.10,1.00,0.00,0.00,0.00
2.20,1.00,0.00,0.00,0.00
2.30,1.00,0.00,0.00,0.00
2.40,1.00,0.00,0.00,0.00
2.50,1.00,0.00,0.00,0.00
2.60,1.00,0.00,0.00,0.00
2.70,1.00,0.00,0.00,0.00
2.80,1.00,0.00,0.00,0.00
2.90,1.00,0.00,0.00,0.00
3.00,1.00,0.00,0.00,0.00
3.10,1.00,0.00,0.00,0.00
3.20,1.00,0.00,0.00,0.00
3.30,1.00,0.00,0.00,0.00
3.40,1.00,0.00,0.00,0.00
3.50,1.00,0.00,0.00,0.00
3.60,1.00,0.00,0.00,0.00
3.70,1.00,0.00,0.00,0.00
3.80,1.00,0.00,0.00,0.00
3.90,1.00,0.00,0.00,0.00
4.00,1.00,0.00,0.00,0.00
4.10,1.00,0.00,0.00,0.00
4.20,1.00,0.00,0.00,0.00
4.30,1.00,0.00,0.00,0.00
4.40,1.00,0.00,0.00,0.00
4.50,1.00,0.00,0.00,0.00
4.60,1.00,0.00,0.00,0.00
4.70,1.00,0.00,0.00,0.00
4.80,1.00,0.00,0.00,0.00
4.90,1.00,0.00,0.00,0.00
5.00,1.00,0.00,0.00,0.00
5.10,1.00,0.00,0.00,0.00
5.20,1.00,0.00,0.00,0.00
5.30,1.00,0.00,0.00,0.00
5.40,1.00,0.00,0.00,0.00
5.50,1.00,0.00,0.00,0.00
5.60,1.00,0.00,0.00,0.00
5.70,1.00,0.00,0.00,0.00
5.80,1.00,0.00,0.00,0.00
5.90,1.00,0.00,0.00,0.00
6.00,1.00,0.00,0.00,0.00
6.10,1.00,0.00,0.00,0.00
6.20,1.00,0.00,0.00,0.00
6.30,1.00,0.00,0.00,0.00
6.40,1.00,0.00,0.00,0.00
6.50,0.99,0.00,0.00,0.00
6.60,0.99,0.00,0.00,0.00
6.70,0.99,0.00,0.00,0.00
6.80,0.99,0.00,0.00,0.00
6.90,0.99,0.00,0.00,0.00
7.00,0.99,0.00,0.00,0.00
7.10,0.99,0.00,0.00,0.00
7.20,0.99,0.00,0.00,0.00
7.30,0.99,0.00,0.00,0.00
7.40,0.99,0.00,0.00,0.00
7.50,0.99,0.00,0.00,0.00
7.60,0.99,0.00,0.00,0.00
7.70,0.99,0.00,0.00,0.00
7.80,0.99,0.00,0.00,0.00
7.90,0.99,0.00,0.00,0.00
8.00,0.99,0.00,0.00,0.00
8.10,0.99,0.00,0.00,0.00
8.20,0.99,0.00,0.00,0.00
8.30,0.99,0.00,0.00,0.00
8.40,0.99,0.00,0.00,0.00
8.50,0.99,0.00,0.00,0.00
8.60,0.99,0.00,0.00,0.00
8.70,0.99,0.00,0.00,0.00
8.80,0.99,0.00,0.00,0.00
8.90,0.99,0.00,0.00,0.00
9.00,0.99,0.00,0.00,0.00
9.10,0.99,0.00,0.00,0.00
9.20,0.99,0.00,0.00,0.00
9.30,0.99,0.00,0.00,0.00
9.40,0.99,0.00,0.00,0.00
9.50,0.99,0.00,0.00,0.00
9.60,0.99,0.00,0.00,0.00
9.70,0.99,0.00,0.00,0.00
9.80,0.99,0.00,0.00,0.00
9.90,0.99,0.00,0.00,0.00
10.00,0.99,0.00,0.00,0.00
10.10,0.99,0.00,0.00,0.00
10.20,0.99,0.00,0.00,0.00
10.30,0.99,0.00,0.00,0.00
10.40,0.99,0.00,0.00,0.00
10.50,0.99,0.00,0.00,0.00
10.60,0.99,0.00,0.00,0.00
10.70,0.99,0.00,0.00,0.00
10.80,0.99,0.00,0.00,0.00
10.90,0.99,0.00,0.00,0.00
11.00,0.99,0.00,0.00,0.00
11.10,0.99,0.00,0.00,0.00
11.20,0.99,0.00,0.00,0.00
11.30,0.99,0.00,0.00,0.00
11.40,0.99,0.00,0.00,0.00
11.50,0.99,0.00,0.00,0.00
11.60,0.99,0.00,0.00,0.00
11.70,0.99,0.00,0.00,0.00
11.80,0.99,0.00,0.01,0.00
11.90,0.99,0.00,0.01,0.00
12.00,0.99,0.01,0.01,0.00
12.10,0.99,0.01,0.01,0.00
12.20,0.99,0.01,0.01,0.00
12.30,0.99,0.01,0.01,0.00
12.40,0.98,0.01,0.01,0.00
12.50,0.98,0.01,0.01,0.00
12.60,0.98,0.01,0.01,0.00
12.70,0.98,0.01,0.01,0.00
12.80,0.98,0.01,0.01,0.00
12.90,0.98,0.01,0.01,0.00
13.00,0.98,0.01,0.01,0.00
13.10,0.98,0.01,0.01,0.00
13.20,0.98,0.01,0.01,0.00
13.30,0.98,0.01,0.01,0.00
13.40,0.98,0.01,0.01,0.00
13.50,0.98,0.01,0.01,0.00
13.60,0.98,0.01,0.01,0.01
13.70,0.98,0.01,0.01,0.01
13.80,0.98,0.01,0.01,0.01
13.90,0.98,0.01,0.01,0.01
14.00,0.98,0.01,0.01,0.01
14.10,0.98,0.01,0.01,0.01
14.20,0.98,0.01,0.01,0.01
14.30,0.98,0.01,0.01,0.01
14.40,0.98,0.01,0.01,0.01
14.50,0.98,0.01,0.01,0.01
14.60,0.98,0.01,0.01,0.01
14.70,0.98,0.01,0.01,0.01
14.80,0.98,0.01,0.01,0.01
14.90,0.98,0.01,0.01,0.01
15.00,0.98,0.01,0.01,0.01
15.10,0.98,0.01,0.01,0.01
15.20,0.98,0.01,0.01,0.01
15.30,0.97,0.01,0.01,0.01
15.40,0.97,0.01,0.01,0.01
15.50,0.97,0.01,0.01,0.01
15.60,0.97,0.01,0.01,0.01
15.70,0.97,0.01,0.01,0.01
15.80,0.97,0.01,0.01,0.01
15.90,0.97,0.01,0.01,0.01
16.00,0.97,0.01,0.01,0.01
16.10,0.97,0.01,0.01,0.01
16.20,0.97,0.01,0.01,0.01
16.30,0.97,0.01,0.01,0.01
16.40,0.97,0.01,0.01,0.01
16.50,0.97,0.01,0.01,0.01
16.60,0.97,0.01,0.01,0.01
16.70,0.97,0.01,0.01,0.01
16.80,0.97,0.01,0.01,0.01
16.90,0.97,0.01,0.01,0.01
17.00,0.97,0.01,0.01,0.01
17.10,0.97,0.01,0.01,0.01
17.20,0.96,0.01,0.01,0.01
17.30,0.96,0.01,0.01,0.01
17.40,0.96,0.01,0.01,0.01
17.50,0.96,0.01,0.01,0.01
17.60,0.96,0.01,0.01,0.01
17.70,0.96,0.01,0.01,0.01
17.80,0.96,0.01,0.01,0.01
17.90,0.96,0.01,0.01,0.01
18.00,0.96,0.01,0.02,0.01
18.10,0.96,0.01,0.02,0.01
18.20,0.96,0.01,0.02,0.01
18.30,0.96,0.02,0.02,0.01
18.40,0.96,0.02,0.02,0.01
18.50,0.96,0.02,0.02,0.01
18.60,0.95,0.02,0.02,0.01
18.70,0.95,0.02,0.02,0.01
18.80,0.95,0.02,0.02,0.01
18.90,0.95,0.02,0.02,0.01
19.00,0.95,0.02,0.02,0.01
19.10,0.95,0.02,0.02,0.01
19.20,0.95,0.02,0.02,0.01
19.30,0.95,0.02,0.02,0.01
19.40,0.95,0.02,0.02,0.01
19.50,0.95,0.02,0.02,0.02
19.60,0.95,0.02,0.02,0.02
19.70,0.95,0.02,0.02,0.02
19.80,0.94,0.02,0.02,0.02
19.90,0.94,0.02,0.02,0.02
20.00,0.94,0.02,0.02,0.02
20.10,0.94,0.02,0.02,0.02
20.20,0.94,0.02,0.02,0.02
20.30,0.94,0.02,0.02,0.02
20.40,0.94,0.02,0.02,0.02
20.50,0.94,0.02,0.02,0.02
20.60,0.94,0.02,0.02,0.02
20.70,0.94,0.02,0.02,0.02
20.80,0.93,0.02,0.02,0.02
20.90,0.93,0.02,0.02,0.02
21.00,0.93,0.02,0.03,0.02
21.10,0.93,0.02,0.03,0.02
21.20,0.93,0.02,0.03,0.02
21.30,0.93,0.02,0.03,0.02
21.40,0.93,0.03,0.03,0.02
21.50,0.93,0.03,0.03,0.02
21.60,0.92,0.03,0.03,0.02
21.70,0.92,0.03,0.03,0.02
21.80,0.92,0.03,0.03,0.02
21.90,0.92,0.03,0.03,0.02
22.00,0.92,0.03,0.03,0.02
22.10,0.92,0.03,0.03,0.02
22.20,0.92,0.03,0.03,0.02
22.30,0.92,0.03,0.03,0.02
22.40,0.91,0.03,0.03,0.03
22.50,0.91,0.03,0.03,0.03
22.60,0.91,0.03,0.03,0.03
22.70,0.91,0.03,0.03,0.03
22.80,0.91,0.03,0.03,0.03
22.90,0.91,0.03,0.03,0.03
23.00,0.90,0.03,0.03,0.03
23.10,0.90,0.03,0.04,0.03
23.20,0.90,0.03,0.04,0.03
23.30,0.90,0.03,0.04,0.03
23.40,0.90,0.03,0.04,0.03
23.50,0.90,0.03,0.04,0.03
23.60,0.89,0.04,0.04,0.03
23.70,0.89,0.04,0.04,0.03
23.80,0.89,0.04,0.04,0.03
23.90,0.89,0.04,0.04,0.03
24.00,0.89,0.04,0.04,0.03
24.10,0.89,0.04,0.04,0.03
24.20,0.88,0.04,0.04,0.03
24.30,0.88,0.04,0.04,0.04
24.40,0.88,0.04,0.04,0.04
24.50,0.88,0.04,0.04,0.04
24.60,0.88,0.04,0.05,0.04
24.70,0.87,0.04,0.05,0.04
24.80,0.87,0.04,0.05,0.04
24.90,0.87,0.04,0.05,0.04
25.00,0.87,0.04,0.05,0.04
25.10,0.87,0.04,0.05,0.04
25.20,0.86,0.04,0.05,0.04
25.30,0.86,0.05,0.05,0.04
