time,S,E,I,R
0.0,0.999,0.0,0.001,0.0
0.1,0.99895,5e-05,0.000986,1.4e-05
0.2,0.998901,9.8e-05,0.000973,2.8e-05
0.3,0.998852,0.000143,0.000963,4.2e-05
0.4,0.998804,0.000186,0.000954,5.6e-05
0.5,0.998757,0.000228,0.000946,7e-05
0.6,0.998709,0.000267,0.00094,8.3e-05
0.7,0.998662,0.000305,0.000936,9.7e-05
0.8,0.998616,0.000342,0.000933,0.00011
0.9,0.998569,0.000377,0.000931,0.000123
1.0,0.998523,0.000411,0.00093,0.000136
1.1,0.998476,0.000444,0.00093,0.00015
1.2,0.99843,0.000475,0.000932,0.000163
1.3,0.998383,0.000506,0.000934,0.000176
1.4,0.998337,0.000536,0.000938,0.000189
1.5,0.99829,0.000565,0.000942,0.000203
1.6,0.998243,0.000593,0.000948,0.000216
1.7,0.998196,0.00062,0.000954,0.00023
1.8,0.998148,0.000647,0.000961,0.000243
1.9,0.9981,0.000674,0.000969,0.000257
2.0,0.998052,0.0007,0.000977,0.000271
2.1,0.998003,0.000725,0.000987,0.000285
2.2,0.997954,0.00075,0.000997,0.000299
2.3,0.997905,0.000775,0.001008,0.000313
2.4,0.997854,0.000799,0.001019,0.000327
2.5,0.997804,0.000824,0.001031,0.000342
2.6,0.997752,0.000848,0.001044,0.000356
2.7,0.9977,0.000871,0.001057,0.000371
2.8,0.997648,0.000895,0.001071,0.000386
2.9,0.997594,0.000919,0.001086,0.000401
3.0,0.99754,0.000942,0.001101,0.000417
3.1,0.997486,0.000966,0.001117,0.000432
3.2,0.99743,0.000989,0.001133,0.000448
3.3,0.997374,0.001013,0.00115,0.000464
3.4,0.997316,0.001036,0.001167,0.00048
3.5,0.997258,0.00106,0.001185,0.000497
3.6,0.997199,0.001084,0.001203,0.000514
3.7,0.99714,0.001108,0.001222,0.000531
3.8,0.997079,0.001132,0.001242,0.000548
3.9,0.997017,0.001156,0.001262,0.000566
4.0,0.996954,0.00118,0.001282,0.000584
4.1,0.996891,0.001205,0.001303,0.000602
4.2,0.996826,0.001229,0.001325,0.00062
4.3,0.99676,0.001255,0.001347,0.000639
4.4,0.996693,0.00128,0.001369,0.000658
4.5,0.996625,0.001305,0.001392,0.000677
4.6,0.996556,0.001331,0.001416,0.000697
4.7,0.996485,0.001357,0.00144,0.000717
4.8,0.996414,0.001384,0.001465,0.000737
4.9,0.996341,0.001411,0.00149,0.000758
5.0,0.996267,0.001438,0.001516,0.000779
5.1,0.996192,0.001466,0.001542,0.000801
5.2,0.996115,0.001494,0.001569,0.000823
5.3,0.996037,0.001522,0.001596,0.000845
5.4,0.995958,0.001551,0.001624,0.000867
5.5,0.995877,0.00158,0.001653,0.00089
5.6,0.995795,0.001609,0.001682,0.000914
5.7,0.995712,0.00164,0.001711,0.000937
5.8,0.995627,0.00167,0.001742,0.000962
5.9,0.99554,0.001701,0.001772,0.000986
6.0,0.995452,0.001733,0.001804,0.001011
6.1,0.995363,0.001765,0.001836,0.001037
6.2,0.995272,0.001797,0.001868,0.001063
6.3,0.995179,0.00183,0.001902,0.001089
6.4,0.995085,0.001864,0.001935,0.001116
6.5,0.994989,0.001898,0.00197,0.001143
6.6,0.994891,0.001933,0.002005,0.001171
6.7,0.994792,0.001968,0.002041,0.001199
6.8,0.994691,0.002004,0.002077,0.001228
6.9,0.994588,0.00204,0.002114,0.001258
7.0,0.994483,0.002078,0.002152,0.001287
7.1,0.994376,0.002115,0.002191,0.001318
7.2,0.994268,0.002154,0.00223,0.001349
7.3,0.994157,0.002193,0.00227,0.00138
7.4,0.994045,0.002233,0.00231,0.001412
7.5,0.99393,0.002273,0.002352,0.001445
7.6,0.993814,0.002314,0.002394,0.001478
7.7,0.993695,0.002356,0.002437,0.001512
7.8,0.993574,0.002398,0.002481,0.001546
7.9,0.993452,0.002442,0.002525,0.001581
8.0,0.993327,0.002486,0.002571,0.001617
8.1,0.993199,0.002531,0.002617,0.001653
8.2,0.99307,0.002576,0.002664,0.00169
8.3,0.992938,0.002623,0.002711,0.001728
8.4,0.992804,0.00267,0.00276,0.001766
8.5,0.992667,0.002718,0.00281,0.001805
8.6,0.992529,0.002767,0.00286,0.001845
8.7,0.992387,0.002816,0.002912,0.001885
8.8,0.992243,0.002867,0.002964,0.001926
8.9,0.992097,0.002918,0.003017,0.001968
9.0,0.991947,0.002971,0.003071,0.00201
9.1,0.991796,0.003024,0.003126,0.002054
9.2,0.991641,0.003078,0.003183,0.002098
9.3,0.991484,0.003134,0.00324,0.002143
9.4,0.991324,0.00319,0.003298,0.002188
9.5,0.991161,0.003247,0.003357,0.002235
9.6,0.990995,0.003305,0.003417,0.002282
9.7,0.990827,0.003364,0.003479,0.002331
9.8,0.990655,0.003424,0.003541,0.00238
9.9,0.99048,0.003486,0.003605,0.002429
10.0,0.990302,0.003548,0.003669,0.00248
10.1,0.990121,0.003611,0.003735,0.002532
10.2,0.989937,0.003676,0.003802,0.002585
10.3,0.98975,0.003742,0.00387,0.002638
10.4,0.989559,0.003808,0.00394,0.002693
10.5,0.989365,0.003876,0.004011,0.002748
10.6,0.989167,0.003946,0.004082,0.002805
10.7,0.988966,0.004016,0.004156,0.002863
10.8,0.988761,0.004088,0.00423,0.002921
10.9,0.988553,0.00416,0.004306,0.002981
11.0,0.988341,0.004235,0.004383,0.003041
11.1,0.988125,0.00431,0.004462,0.003103
11.2,0.987905,0.004387,0.004542,0.003166
11.3,0.987682,0.004465,0.004623,0.00323
11.4,0.987455,0.004544,0.004706,0.003295
11.5,0.987223,0.004625,0.00479,0.003362
11.6,0.986988,0.004708,0.004876,0.003429
11.7,0.986748,0.004791,0.004963,0.003498
11.8,0.986504,0.004876,0.005052,0.003568
11.9,0.986256,0.004963,0.005142,0.003639
12.0,0.986003,0.005051,0.005234,0.003711
12.1,0.985746,0.005141,0.005328,0.003785
12.2,0.985485,0.005232,0.005423,0.00386
12.3,0.985219,0.005325,0.00552,0.003937
12.4,0.984948,0.005419,0.005619,0.004014
12.5,0.984672,0.005515,0.005719,0.004094
12.6,0.984392,0.005613,0.005821,0.004174
12.7,0.984106,0.005712,0.005925,0.004256
12.8,0.983816,0.005814,0.006031,0.00434
12.9,0.98352,0.005916,0.006138,0.004425
13.0,0.98322,0.006021,0.006248,0.004511
13.1,0.982914,0.006128,0.006359,0.004599
13.2,0.982603,0.006236,0.006473,0.004689
13.3,0.982286,0.006346,0.006588,0.00478
13.4,0.981964,0.006458,0.006706,0.004873
13.5,0.981636,0.006572,0.006825,0.004967
13.6,0.981302,0.006688,0.006947,0.005063
13.7,0.980963,0.006806,0.00707,0.005161
13.8,0.980617,0.006926,0.007196,0.005261
13.9,0.980266,0.007048,0.007324,0.005362
14.0,0.979908,0.007172,0.007455,0.005465
14.1,0.979545,0.007298,0.007587,0.00557
14.2,0.979175,0.007426,0.007722,0.005677
14.3,0.978798,0.007557,0.007859,0.005786
14.4,0.978415,0.00769,0.007999,0.005897
14.5,0.978025,0.007825,0.008141,0.006009
14.6,0.977629,0.007962,0.008285,0.006124
14.7,0.977225,0.008101,0.008432,0.006241
14.8,0.976815,0.008243,0.008582,0.006359
14.9,0.976398,0.008388,0.008734,0.00648
15.0,0.975973,0.008535,0.008889,0.006603
15.1,0.975541,0.008684,0.009047,0.006728
15.2,0.975102,0.008836,0.009207,0.006856
15.3,0.974655,0.00899,0.00937,0.006985
15.4,0.9742,0.009147,0.009536,0.007117
15.5,0.973738,0.009307,0.009704,0.007252
15.6,0.973267,0.009469,0.009876,0.007388
15.7,0.972788,0.009634,0.01005,0.007527
15.8,0.972302,0.009802,0.010228,0.007669
15.9,0.971807,0.009972,0.010409,0.007813
16.0,0.971303,0.010145,0.010592,0.007959
16.1,0.970791,0.010322,0.010779,0.008109
16.2,0.97027,0.010501,0.010969,0.00826
16.3,0.96974,0.010683,0.011162,0.008415
16.4,0.969201,0.010868,0.011359,0.008572
16.5,0.968653,0.011056,0.011559,0.008732
16.6,0.968095,0.011248,0.011763,0.008895
16.7,0.967528,0.011442,0.011969,0.00906
16.8,0.966952,0.01164,0.01218,0.009229
16.9,0.966366,0.01184,0.012394,0.0094
17.0,0.965769,0.012045,0.012611,0.009575
17.1,0.965163,0.012252,0.012833,0.009752
17.2,0.964546,0.012463,0.013058,0.009933
17.3,0.963919,0.012677,0.013287,0.010117
17.4,0.963282,0.012895,0.01352,0.010304
17.5,0.962633,0.013116,0.013756,0.010494
17.6,0.961974,0.013341,0.013997,0.010688
17.7,0.961304,0.01357,0.014242,0.010885
17.8,0.960622,0.013802,0.014491,0.011085
17.9,0.959929,0.014038,0.014744,0.011289
18.0,0.959225,0.014278,0.015001,0.011497
18.1,0.958508,0.014521,0.015263,0.011708
18.2,0.95778,0.014769,0.015529,0.011923
18.3,0.95704,0.01502,0.015799,0.012141
18.4,0.956287,0.015275,0.016074,0.012364
18.5,0.955522,0.015535,0.016354,0.01259
18.6,0.954744,0.015798,0.016638,0.01282
18.7,0.953953,0.016066,0.016927,0.013054
18.8,0.95315,0.016338,0.01722,0.013292
18.9,0.952333,0.016614,0.017519,0.013535
19.0,0.951502,0.016894,0.017822,0.013781
19.1,0.950658,0.017179,0.018131,0.014032
19.2,0.9498,0.017468,0.018445,0.014287
19.3,0.948928,0.017762,0.018763,0.014547
19.4,0.948042,0.01806,0.019087,0.014811
19.5,0.947141,0.018363,0.019417,0.01508
19.6,0.946226,0.01867,0.019751,0.015353
19.7,0.945295,0.018982,0.020092,0.015631
19.8,0.94435,0.019299,0.020437,0.015914
19.9,0.943389,0.019621,0.020789,0.016201
20.0,0.942413,0.019947,0.021146,0.016494
20.1,0.941421,0.020279,0.021509,0.016791
20.2,0.940413,0.020615,0.021877,0.017094
20.3,0.939389,0.020957,0.022252,0.017402
20.4,0.938349,0.021304,0.022633,0.017715
20.5,0.937292,0.021655,0.023019,0.018033
20.6,0.936218,0.022012,0.023412,0.018357
20.7,0.935127,0.022374,0.023812,0.018687
20.8,0.934019,0.022742,0.024217,0.019022
20.9,0.932893,0.023115,0.024629,0.019362
21.0,0.93175,0.023493,0.025048,0.019709
21.1,0.930588,0.023877,0.025473,0.020061
21.2,0.929408,0.024266,0.025905,0.02042
21.3,0.92821,0.024661,0.026344,0.020784
21.4,0.926993,0.025062,0.02679,0.021155
21.5,0.925757,0.025468,0.027243,0.021532
21.6,0.924502,0.02588,0.027702,0.021915
21.7,0.923228,0.026298,0.028169,0.022305
21.8,0.921934,0.026722,0.028643,0.022701
21.9,0.920619,0.027152,0.029125,0.023104
22.0,0.919285,0.027587,0.029614,0.023514
22.1,0.91793,0.028029,0.03011,0.023931
22.2,0.916555,0.028476,0.030615,0.024354
22.3,0.915159,0.02893,0.031126,0.024785
22.4,0.913741,0.02939,0.031646,0.025223
22.5,0.912302,0.029856,0.032174,0.025668
