time,S,E,I,R
0.0,0.999,0.0,0.001,0.0
0.1,0.99895,4.9e-05,0.000987,1.4e-05
0.2,0.998901,9.5e-05,0.000975,2.8e-05
0.3,0.998853,0.00014,0.000965,4.2e-05
0.4,0.998805,0.000182,0.000957,5.6e-05
0.5,0.998757,0.000223,0.00095,6.9e-05
0.6,0.99871,0.000263,0.000944,8.3e-05
0.7,0.998663,0.0003,0.00094,9.6e-05
0.8,0.998616,0.000336,0.000938,0.00011
0.9,0.99857,0.000371,0.000936,0.000123
1.0,0.998523,0.000405,0.000936,0.000136
1.1,0.998476,0.000438,0.000936,0.00015
1.2,0.998429,0.00047,0.000938,0.000163
1.3,0.998383,0.0005,0.000941,0.000176
1.4,0.998336,0.00053,0.000944,0.00019
1.5,0.998288,0.000559,0.000949,0.000203
1.6,0.998241,0.000588,0.000955,0.000217
1.7,0.998193,0.000615,0.000961,0.00023
1.8,0.998145,0.000643,0.000968,0.000244
1.9,0.998097,0.000669,0.000976,0.000258
2.0,0.998048,0.000695,0.000985,0.000272
2.1,0.997999,0.000721,0.000994,0.000286
2.2,0.997949,0.000747,0.001005,0.0003
2.3,0.997898,0.000772,0.001015,0.000315
2.4,0.997848,0.000796,0.001027,0.000329
2.5,0.997796,0.000821,0.001039,0.000344
2.6,0.997744,0.000845,0.001052,0.000359
2.7,0.997691,0.00087,0.001065,0.000374
2.8,0.997638,0.000894,0.00108,0.000389
2.9,0.997584,0.000918,0.001094,0.000404
3.0,0.997529,0.000942,0.001109,0.00042
3.1,0.997473,0.000966,0.001125,0.000436
3.2,0.997417,0.00099,0.001142,0.000452
3.3,0.99736,0.001014,0.001159,0.000468
3.4,0.997302,0.001038,0.001176,0.000485
3.5,0.997243,0.001062,0.001194,0.000501
3.6,0.997183,0.001086,0.001213,0.000518
3.7,0.997122,0.00111,0.001232,0.000536
3.8,0.99706,0.001135,0.001252,0.000553
3.9,0.996998,0.001159,0.001272,0.000571
4.0,0.996934,0.001184,0.001293,0.000589
4.1,0.996869,0.001209,0.001314,0.000608
4.2,0.996803,0.001235,0.001336,0.000627
4.3,0.996736,0.00126,0.001358,0.000646
