time,S,E,I,R
0,19980,0,20,0
1,5528,14452,15,5
2,1602,14259,4134,5
3,453,11412,7594,541
4,124,8412,9879,1585
5,44,6149,10855,2952
6,21,4467,11097,4415
7,13,3257,10855,5875
8,22,2338,10365,7275
9,30,1717,9618,8635
10,41,1237,8884,9838
11,31,905,8127,10937
12,43,666,7274,12017
13,43,514,6526,12917
14,52,387,5801,13760
15,63,298,5153,14486
16,71,257,4557,15115
17,61,228,4002,15709
18,78,194,3544,16184
19,80,186,3142,16592
20,102,179,2783,16936
21,75,187,2463,17275
22,84,192,2190,17534
23,75,181,1959,17785
24,110,157,1720,18013
25,109,169,1536,18186
26,108,181,1383,18328
27,109,188,1239,18464
28,108,201,1114,18577
29,112,203,997,18688
30,134,219,908,18739
31,117,248,845,18790
32,151,237,802,18810
33,125,268,750,18857
34,119,269,724,18888
35,96,279,665,18960
36,128,251,656,18965
37,123,275,637,18965
38,137,261,634,18968
39,123,263,613,19001
40,151,261,605,18983
41,133,276,585,19006
42,129,284,587,19000
43,113,287,578,19022
44,125,288,574,19013
45,136,294,572,18998
46,136,302,576,18986
47,136,304,565,18995
48,167,306,565,18962
49,159,346,540,18955
50,171,344,553,18932
51,140,352,579,18929
52,147,331,587,18935
53,128,329,593,18950
54,164,312,587,18937
55,152,321,608,18919
56,161,340,606,18893
57,153,348,607,18892
58,175,344,626,18855
59,142,363,633,18862
60,188,347,662,18803
61,159,368,668,18805
62,178,373,672,18777
63,169,374,687,18770
64,179,386,692,18743
65,151,393,716,18740
66,159,383,720,18738
67,145,384,716,18755
68,166,370,728,18736
69,150,357,737,18756
70,165,360,718,18757
71,132,368,730,18770
72,185,353,709,18753
73,162,380,703,18755
74,196,383,679,18742
75,194,395,686,18725
76,178,399,707,18716
77,194,372,752,18682
78,182,386,750,18682
79,151,398,742,18709
80,188,375,764,18673
81,177,413,744,18666
82,181,427,726,18666
83,147,436,749,18668
84,170,403,763,18664
85,174,398,764,18664
86,170,403,772,18655
87,165,403,786,18646
88,176,401,796,18627
89,160,409,765,18666
90,191,405,755,18649
91,174,421,754,18651
92,224,422,765,18589
93,223,445,788,18544
94,223,461,811,18505
95,154,482,823,18541
96,213,457,831,18499
97,178,471,839,18512
98,179,464,844,18513
99,175,432,861,18532
100,197,430,851,18522
101,181,456,838,18525
102,201,451,843,18505
103,147,459,861,18533
104,161,423,870,18546
105,170,418,860,18552
106,171,427,838,18564
107,161,416,820,18603
108,197,396,833,18574
109,160,434,825,18581
110,202,418,822,18558
111,210,429,807,18554
112,211,448,813,18528
113,163,455,853,18529
114,213,424,845,18518
115,212,441,858,18489
116,216,458,859,18467
117,184,480,864,18472
118,193,459,889,18459
119,151,451,897,18501
120,189,424,896,18491
121,180,449,893,18478
122,232,438,892,18438
123,179,476,887,18458
124,209,474,884,18433
125,184,466,912,18438
126,208,453,926,18413
127,204,447,951,18398
128,201,469,939,18391
129,182,490,920,18408
130,198,476,933,18393
131,178,455,908,18459
132,203,457,876,18464
133,171,475,875,18479
134,203,450,893,18454
135,217,452,887,18444
136,236,459,878,18427
