time,S,E,I,R
0,19980,0,20,0
1,5446,14534,18,2
2,1426,14453,4115,6
3,401,11257,7780,562
4,117,8455,9846,1582
5,44,6177,10997,2782
6,19,4472,11222,4287
7,11,3230,11010,5749
8,17,2324,10473,7186
9,29,1683,9765,8523
10,34,1212,8988,9766
11,38,881,8102,10979
12,52,665,7228,12055
13,57,512,6429,13002
14,67,395,5724,13814
15,65,318,5103,14514
16,77,265,4520,15138
17,78,231,3982,15709
18,70,213,3538,16179
19,70,193,3127,16610
20,83,177,2777,16963
21,90,171,2479,17260
22,93,178,2234,17495
23,79,163,1989,17769
24,109,169,1759,17963
25,99,201,1569,18131
26,102,202,1423,18273
27,112,203,1274,18411
28,126,220,1168,18486
29,118,237,1058,18587
30,115,234,972,18679
31,121,232,908,18739
32,134,244,841,18781
33,127,259,777,18837
34,118,267,746,18869
35,109,274,722,18895
36,134,256,695,18915
37,111,274,673,18942
38,130,264,660,18946
39,147,275,644,18934
40,138,295,606,18961
41,146,298,597,18959
42,160,316,576,18948
43,132,314,583,18971
44,153,298,592,18957
45,151,305,579,18965
46,165,318,574,18943
47,130,341,565,18964
48,155,337,571,18937
49,136,338,594,18932
50,155,336,589,18920
51,153,346,588,18913
52,178,339,590,18893
53,138,364,593,18905
54,159,357,584,18900
55,150,355,609,18886
56,174,354,619,18853
57,166,378,602,18854
58,183,354,629,18834
59,132,391,622,18855
60,165,359,643,18833
61,167,369,630,18834
62,161,360,650,18829
63,151,359,675,18815
64,178,350,680,18792
65,147,385,669,18799
66,178,383,691,18748
67,167,390,712,18731
68,164,395,703,18738
69,140,403,719,18738
70,171,384,727,18718
71,130,384,739,18747
72,183,356,728,18733
73,180,376,723,18721
74,151,396,725,18728
75,157,390,726,18727
76,193,390,746,18671
77,178,408,766,18648
78,193,412,764,18631
79,166,421,752,18661
80,179,411,750,18660
81,182,414,751,18653
82,195,409,779,18617
83,163,424,779,18634
84,187,417,798,18598
85,188,424,794,18594
86,178,418,807,18597
87,183,442,804,18571
88,189,436,800,18575
